danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.509,0.697,9,-4.425,0,0.0304,0.12,0.0,0.134,0.37,75.216,https://api.spotify.com/v1/tracks/1u2Fe70Qm9VFCIMPWFlfc1,211194,Deep Satin,Zach Bryan
0.452,0.356,11,-13.775,1,0.0291,0.0287,0.00652,0.059,0.148,75.001,https://api.spotify.com/v1/tracks/4FYCEo8VyITDAG4othCjOa,330800,Il Volo,Zucchero
0.67,0.609,7,-10.088,1,0.0333,0.75,6.74e-05,0.227,0.573,127.463,https://api.spotify.com/v1/tracks/5PbdVk09VHHcvGa0pX86RP,109736,Flowers In Your Hair,The Lumineers
0.841,0.836,1,-4.459,1,0.104,0.0426,2.47e-06,0.0555,0.833,119.972,https://api.spotify.com/v1/tracks/45xiC13XQsLhV57FxQLlLV,171680,LALALI,SEVENTEEN
0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,267267,Rock Your Body,Justin Timberlake
0.791,0.558,7,-7.155,0,0.0661,0.276,0.0,0.0859,0.872,95.077,https://api.spotify.com/v1/tracks/3APdIdF8H0jsxSuGOqXedS,218836,Kabhi Kabhi Aditi,Rashid Ali
0.821,0.787,6,-5.09,0,0.0661,0.0369,0.00708,0.068,0.341,99.988,https://api.spotify.com/v1/tracks/764CYWJzIeuBGGDaeu7b2n,165126,Moment,Levity
0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,200400,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC
0.573,0.668,7,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,87.973,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,199920,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin
0.548,0.221,2,-8.906,1,0.0638,0.886,0.0,0.1,0.566,128.172,https://api.spotify.com/v1/tracks/0cOeKSEXxtvLRzwCL9O3gn,181507,Lemonade,Jeremy Passion
0.488,0.188,7,-22.122,1,0.0345,0.288,0.774,0.378,0.368,107.94,https://api.spotify.com/v1/tracks/3Ae7uFl8NHYXvoF1tBm5yp,248000,Try To Remember (Ming Ji),Star Workshop Orchestra
0.588,0.142,7,-15.196,1,0.0329,0.863,0.000162,0.0953,0.288,119.656,https://api.spotify.com/v1/tracks/0oOY4xChdxmGgpyQrY2FBz,250867,Jolene,Ray LaMontagne
0.759,0.85,4,-7.156,1,0.0418,0.456,1.72e-06,0.488,0.963,149.211,https://api.spotify.com/v1/tracks/4wswaG5vmNINMZcVBsAyBP,234653,Got My Mind Set on You,George Harrison
0.932,0.212,7,-17.997,1,0.16,0.904,0.885,0.11,0.902,144.059,https://api.spotify.com/v1/tracks/0JOkg9ppNx6yXxVBqfDpB4,125000,Monkeys Spinning Monkeys,Kevin MacLeod
0.462,0.84,2,-6.667,1,0.0346,5.05e-05,6.47e-05,0.0893,0.805,75.542,https://api.spotify.com/v1/tracks/15bnD6GnRtBfsJFkgToG72,246440,Roadrunner,The Modern Lovers
0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,243837,goosebumps,Travis Scott
0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,230400,Dancing Queen,ABBA
0.367,0.453,9,-9.346,0,0.0329,0.746,0.000481,0.111,0.142,117.05,https://api.spotify.com/v1/tracks/0wvunRCr2nGuEGwIRQyEmf,215067,Boulevard of Broken Dreams,Leslie Cheung
0.421,0.669,10,-7.534,1,0.0358,0.243,0.111,0.12,0.135,137.032,https://api.spotify.com/v1/tracks/5FKKjiUjOXu9Kinlkc1VzA,426603,Hungersite,Goose
0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,227093,Sparks,Coldplay
0.496,0.328,2,-8.643,1,0.0273,0.734,0.0,0.0947,0.181,71.862,https://api.spotify.com/v1/tracks/5fC5Qw3gwPecYUGEIhSZuT,269133,Forever's Not Enough,Sarah Geronimo
0.59,0.929,2,-3.236,1,0.0478,0.0714,0.000153,0.0598,0.674,119.818,https://api.spotify.com/v1/tracks/41IShViF79gmulEkIHAjcb,254467,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,Santana
0.707,0.86,11,-2.935,0,0.191,0.103,0.0,0.0989,0.922,152.026,https://api.spotify.com/v1/tracks/7eBpUuPnDTfbeP1P4P93CS,204467,Fighting (Feat. Lee Young Ji),BSS
0.452,0.717,4,-5.954,1,0.0319,0.000333,0.000741,0.128,0.209,99.973,https://api.spotify.com/v1/tracks/359XicDhyrKbqx8U9NQFPM,252400,No Line On The Horizon,U2
0.784,0.685,1,-5.22,0,0.038,0.2,4.6e-06,0.0813,0.847,94.065,https://api.spotify.com/v1/tracks/6jMFvjk1G4unuchv4dAVXo,322412,I Want To Know - Pt. 2,Adriano Celentano
0.489,0.694,5,-9.586,0,0.246,0.156,0.0289,0.145,0.579,130.021,https://api.spotify.com/v1/tracks/3hyyG3Rm7DdmDwG2ZHfxFR,210673,"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino
0.637,0.503,1,-6.927,1,0.336,0.713,0.000113,0.109,0.661,81.061,https://api.spotify.com/v1/tracks/7CRPXJt3IVC7V0VcM0PSQi,208000,Diddy Bop,Noname
0.812,0.749,10,-6.389,0,0.0397,0.108,0.0,0.0599,0.841,134.971,https://api.spotify.com/v1/tracks/56v8WEnGzLByGsDAXDiv4d,151373,ETA,NewJeans
0.351,0.676,9,-9.017,1,0.0313,0.000121,0.113,0.18,0.143,102.46,https://api.spotify.com/v1/tracks/2fuYa3Lx06QQJAm0MjztKr,299560,Let Down,Radiohead
0.948,0.512,6,-5.74,0,0.146,0.0269,8.57e-06,0.0504,0.599,105.004,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,139560,Players,Coi Leray
0.499,0.728,8,-4.922,0,0.385,0.235,0.0,0.686,0.853,96.089,https://api.spotify.com/v1/tracks/0I9glwqb1UBvb4nhj9dIbk,135067,THAT'S THAT,MF DOOM
0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,0.385,94.035,https://api.spotify.com/v1/tracks/0Psz3az3RIYfJpnsajBT8N,190827,Nanã,Polo & Pan
0.417,0.743,11,-5.094,0,0.0481,0.0154,0.0,0.191,0.128,161.877,https://api.spotify.com/v1/tracks/5kDgJffgJ0lYHTSiaXFWNw,171244,BABY I'M BACK,The Kid LAROI
