danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.61,0.599,1,-5.752,1,0.341,0.183,0.000124,0.0854,0.805,154.255,https://api.spotify.com/v1/tracks/1whAXVGN8AdfrnoXNIXfJf,190393,Truth or Dare,Tyla
0.611,0.483,11,-6.216,0,0.055,0.214,0.0,0.124,0.204,145.983,https://api.spotify.com/v1/tracks/39MK3d3fonIP8Mz9oHCTBB,231747,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin
0.583,0.557,3,-4.012,1,0.0494,0.663,0.0,0.374,0.595,73.615,https://api.spotify.com/v1/tracks/51kQvG4aghW17VSZKkfxTp,183147,MOVIE,JUNNY
0.884,0.539,1,-6.389,0,0.208,0.239,0.0,0.0805,0.776,85.008,https://api.spotify.com/v1/tracks/3f9Mzvd3URfbbIJBX4pz9Z,146827,Phone Numbers,Dominic Fike
0.589,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49,https://api.spotify.com/v1/tracks/3uouaAVXpQR3X8RYkJyitQ,194960,CYANIDE,Daniel Caesar
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,180387,See You Again (feat. Kali Uchis),"Tyler, The Creator"
0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,https://api.spotify.com/v1/tracks/3Um9toULmYFGCpvaIPFw7l,233000,What's Going On,Marvin Gaye
0.882,0.616,0,-6.557,1,0.0951,0.399,0.0,0.0898,0.968,119.903,https://api.spotify.com/v1/tracks/16RlWkYKbSi4aGOdTUGzd5,136250,Help Let Me Go,Danny Gonzalez
0.593,0.619,3,-9.003,0,0.0976,0.118,0.0,0.484,0.668,80.02,https://api.spotify.com/v1/tracks/2VjXGuPVVxyhMgER3Uz2Fe,326533,Ex-Factor,Ms. Lauryn Hill
0.671,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002,https://api.spotify.com/v1/tracks/393MDhe62s8hbH8ETrlxe5,294227,Mr. Rager,Kid Cudi
0.613,0.661,9,-4.984,1,0.0263,0.00652,0.0,0.0976,0.509,110.978,https://api.spotify.com/v1/tracks/6RKGBcDtgzXx21zUjpeu6F,230773,Cold Cold Man,Saint Motel
0.33,0.532,2,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,https://api.spotify.com/v1/tracks/0oxYB9GoOIDrdzniNdKC44,285907,When the Sun Hits,Slowdive
0.425,0.903,1,-4.801,1,0.0732,0.405,0.0128,0.117,0.769,108.748,https://api.spotify.com/v1/tracks/4BVE5tIIpYabZcYCbephNW,190253,Touch Me,The Doors
0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,https://api.spotify.com/v1/tracks/70gbuMqwNBE2Y5rkQJE9By,212161,Going to California - Remaster,Led Zeppelin
0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY,281613,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John
0.703,0.867,6,-4.292,1,0.0453,0.107,0.0,0.119,0.546,128.008,https://api.spotify.com/v1/tracks/5HOpkTTVcmZHnthgyxrIL8,213708,The Fox (What Does the Fox Say?),Ylvis
0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,https://api.spotify.com/v1/tracks/2xql0pid3EUwW38AsywxhV,244013,Reflections,The Neighbourhood
0.485,0.499,2,-9.639,0,0.0896,0.412,0.0,0.0895,0.387,141.075,https://api.spotify.com/v1/tracks/5x9epmKRjAhuBCYJ75ChqZ,250107,"Steady, Steady",The Crane Wives
0.667,0.758,0,-4.935,1,0.0489,0.000331,0.0,0.14,0.377,144.98,https://api.spotify.com/v1/tracks/25iB3wmUOdPF4mj9lNjbtH,122488,Dead or Alive,Lil Tecca
0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,257840,Counting Stars,OneRepublic
0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds,547733,Runaway,Kanye West
0.422,0.874,8,-4.606,0,0.0534,0.000166,0.231,0.143,0.392,102.743,https://api.spotify.com/v1/tracks/6I5zXzSDByTEmYZ7ePVQeB,233880,Circle With Me,Spiritbox
0.636,0.572,9,-7.797,1,0.0913,0.287,0.0,0.0878,0.66,131.272,https://api.spotify.com/v1/tracks/0ToG55iJZCOzZkcpWbXxpW,192128,Vampire Empire,Big Thief
0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,https://api.spotify.com/v1/tracks/7F5oktn5YOsR9eR5YsFtqb,235467,New Year’s Day,Taylor Swift
0.418,0.86,5,-7.566,1,0.0514,0.0931,0.149,0.13,0.174,180.004,https://api.spotify.com/v1/tracks/0iDORHBnGtr5inRrezRKvl,421333,dallas,glass beach
0.926,0.57,10,-5.226,0,0.047,0.0551,0.00134,0.109,0.232,130.011,https://api.spotify.com/v1/tracks/6WKh2qSTswuv8QG60Wu29F,177347,bottom,Gunna
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,242373,Viva La Vida,Coldplay
0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,https://api.spotify.com/v1/tracks/2nMeu6UenVvwUktBCpLMK9,236053,Young And Beautiful,Lana Del Rey
0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,https://api.spotify.com/v1/tracks/1BLOVHYYlH4JUHQGcpt75R,351787,Ode To The Mets,The Strokes
